1	 0.0000	 0.0000	 37.2136
2	 0.0000	 0.0005	 37.2134
3	 0.0000	 0.0010	 37.2132
4	 0.0000	 0.0015	 37.2132
5	 0.0000	 0.0020	 37.2131
6	 0.0000	 0.0025	 37.2131
7	 0.0000	 0.0030	 37.2130
8	 0.0000	 0.0035	 37.2130
9	 0.0000	 0.0040	 37.2130
10	 0.0000	 0.0045	 37.2129
11	 0.0000	 0.0050	 37.2129
12	 0.0000	 0.0055	 37.2128
13	 0.0000	 0.0060	 37.2127
14	 0.0000	 0.0065	 37.2126
15	 0.0000	 0.0070	 37.2124
16	 0.0007	 0.0000	 37.4040
17	 0.0007	 0.0005	 37.4038
18	 0.0007	 0.0010	 37.4037
19	 0.0007	 0.0015	 37.4035
20	 0.0007	 0.0020	 37.4035
21	 0.0007	 0.0025	 37.4034
22	 0.0007	 0.0030	 37.4033
23	 0.0007	 0.0035	 37.4032
24	 0.0007	 0.0040	 37.4032
25	 0.0007	 0.0045	 37.4031
26	 0.0007	 0.0050	 37.4030
27	 0.0007	 0.0055	 37.4029
28	 0.0007	 0.0060	 37.4028
29	 0.0007	 0.0065	 37.4027
30	 0.0007	 0.0070	 37.4024
31	 0.0015	 0.0000	 37.5742
32	 0.0015	 0.0005	 37.5740
33	 0.0015	 0.0010	 37.5738
34	 0.0015	 0.0015	 37.5737
35	 0.0015	 0.0020	 37.5736
36	 0.0015	 0.0025	 37.5735
37	 0.0015	 0.0030	 37.5734
38	 0.0015	 0.0035	 37.5733
39	 0.0015	 0.0040	 37.5732
40	 0.0015	 0.0045	 37.5731
41	 0.0015	 0.0050	 37.5730
42	 0.0015	 0.0055	 37.5729
43	 0.0015	 0.0060	 37.5728
44	 0.0015	 0.0065	 37.5726
45	 0.0015	 0.0070	 37.5724
46	 0.0022	 0.0000	 37.7263
47	 0.0022	 0.0005	 37.7262
48	 0.0022	 0.0010	 37.7260
49	 0.0022	 0.0015	 37.7259
50	 0.0022	 0.0020	 37.7257
51	 0.0022	 0.0025	 37.7256
52	 0.0022	 0.0030	 37.7255
53	 0.0022	 0.0035	 37.7254
54	 0.0022	 0.0040	 37.7253
55	 0.0022	 0.0045	 37.7252
56	 0.0022	 0.0050	 37.7251
57	 0.0022	 0.0055	 37.7250
58	 0.0022	 0.0060	 37.7248
59	 0.0022	 0.0065	 37.7247
60	 0.0022	 0.0070	 37.7245
61	 0.0029	 0.0000	 37.8626
62	 0.0029	 0.0005	 37.8624
63	 0.0029	 0.0010	 37.8622
64	 0.0029	 0.0015	 37.8621
65	 0.0029	 0.0020	 37.8620
66	 0.0029	 0.0025	 37.8619
67	 0.0029	 0.0030	 37.8618
68	 0.0029	 0.0035	 37.8617
69	 0.0029	 0.0040	 37.8615
70	 0.0029	 0.0045	 37.8614
71	 0.0029	 0.0050	 37.8613
72	 0.0029	 0.0055	 37.8612
73	 0.0029	 0.0060	 37.8611
74	 0.0029	 0.0065	 37.8609
75	 0.0029	 0.0070	 37.8607
76	 0.0036	 0.0000	 37.9847
77	 0.0036	 0.0005	 37.9845
78	 0.0036	 0.0010	 37.9844
79	 0.0036	 0.0015	 37.9843
80	 0.0036	 0.0020	 37.9841
81	 0.0036	 0.0025	 37.9840
82	 0.0036	 0.0030	 37.9839
83	 0.0036	 0.0035	 37.9838
84	 0.0036	 0.0040	 37.9837
85	 0.0036	 0.0045	 37.9836
86	 0.0036	 0.0050	 37.9835
87	 0.0036	 0.0055	 37.9834
88	 0.0036	 0.0060	 37.9832
89	 0.0036	 0.0065	 37.9831
90	 0.0036	 0.0070	 37.9829
91	 0.0044	 0.0000	 38.0944
92	 0.0044	 0.0005	 38.0942
93	 0.0044	 0.0010	 38.0941
94	 0.0044	 0.0015	 38.0940
95	 0.0044	 0.0020	 38.0938
96	 0.0044	 0.0025	 38.0937
97	 0.0044	 0.0030	 38.0936
98	 0.0044	 0.0035	 38.0935
99	 0.0044	 0.0040	 38.0934
100	 0.0044	 0.0045	 38.0933
101	 0.0044	 0.0050	 38.0932
102	 0.0044	 0.0055	 38.0931
